target	Percentile	True	FinalPerc	CI	Sig
407	Neo1Ori	0.5	0.921862834671183	0.997523835487332	0.00921909440181366	FALSE
408	Neo1Ori	0.6	0.952716967502913	0.999779161079359	0.0101206098189404	FALSE
409	Neo1Ori	0.7	0.985411885312129	1.00044012958433	0.0110953693070616	FALSE
410	Neo1Ori	0.8	1.02406610088431	0.993296439095674	0.0113977884378387	FALSE
411	Neo1Ori	0.9	1.10157475077289	0.99102709062936	0.0171087003349959	FALSE
412	Neo1Ori	0.95	1.18665686472705	0.990888045720253	0.0235152432003288	FALSE
413	Neo1Ori	0.99	1.35523800448638	0.991798361124397	0.0373946922338049	FALSE
414	Neo2Ori	0.5	0.919812920727068	0.995305676838294	0.00937438719589215	FALSE
415	Neo2Ori	0.6	0.947566701456164	0.994374482834728	0.0107874596479955	FALSE
416	Neo2Ori	0.7	0.984037861537769	0.9990451509532	0.0106259015681231	FALSE
417	Neo2Ori	0.8	1.03137418203566	1.00038493756075	0.0137417863864838	FALSE
418	Neo2Ori	0.9	1.1271433524409	1.01402977556266	0.0189733581949555	FALSE
419	Neo2Ori	0.95	1.22348272009314	1.0216385524087	0.0289567337702896	FALSE
420	Neo2Ori	0.99	1.40144412603124	1.02561320063628	0.0347055373347955	FALSE
421	Neo3Ori	0.5	0.934710782392813	1.01142626609567	0.010855222141993	TRUE
422	Neo3Ori	0.6	0.964144196613773	1.0117708710243	0.00964776116426638	TRUE
423	Neo3Ori	0.7	0.990363834665654	1.00546759974861	0.0122022245693838	FALSE
424	Neo3Ori	0.8	1.03865403105968	1.00744605217676	0.0153161293401931	FALSE
425	Neo3Ori	0.9	1.10779800092358	0.996625811448596	0.0190876981334527	FALSE
426	Neo3Ori	0.95	1.19567032993859	0.998414513728075	0.0289064522390262	FALSE
427	Neo3Ori	0.99	1.39615734049566	1.02174419370727	0.0550672775498631	FALSE
456	NT1Ori	0.5	0.920218202368613	0.995744221578706	0.00893739714753103	FALSE
457	NT1Ori	0.6	0.947281778282348	0.994075485061615	0.00918432975880354	FALSE
458	NT1Ori	0.7	0.980099887255655	0.995047119713857	0.0137539238065279	FALSE
459	NT1Ori	0.8	1.02981496658376	0.998872571166809	0.0118569551061425	FALSE
460	NT1Ori	0.9	1.10967819746674	0.998317322359383	0.0177285084290809	FALSE
461	NT1Ori	0.95	1.18446632220802	0.989058888142971	0.0298272224756218	FALSE
462	NT1Ori	0.99	1.31294090373932	0.960844244532052	0.0324427545033275	TRUE
561	Setd2Ori	0.5	0.922560046839264	0.998278270669981	0.00980169419872631	FALSE
562	Setd2Ori	0.6	0.948608635764363	0.995467886483538	0.00967642698655988	FALSE
563	Setd2Ori	0.7	0.981575587190713	0.996545325140707	0.0120997895105814	FALSE
564	Setd2Ori	0.8	1.02459940892994	0.993813723070027	0.0170293444160558	FALSE
565	Setd2Ori	0.9	1.10466317455011	0.993805578088719	0.025319822108359	FALSE
566	Setd2Ori	0.95	1.19650055709023	0.999107774083487	0.0388640464596502	FALSE
567	Setd2Ori	0.99	1.41331284798079	1.03429903953633	0.0543973038396858	FALSE
568	Setd2V1	0.5	0.925830447778352	1.00181708660403	0.0210693167464966	FALSE
569	Setd2V1	0.6	0.952166328191426	0.999201321356048	0.0209014138766917	FALSE
570	Setd2V1	0.7	1.00335475715675	1.01865664320763	0.0238325634503441	FALSE
571	Setd2V1	0.8	1.03576996796063	1.00464864524772	0.0254075621223365	FALSE
572	Setd2V1	0.9	1.1021656327727	0.991558675134875	0.0281629855921024	FALSE
573	Setd2V1	0.95	1.17250209766964	0.979068462583751	0.0375735594679919	FALSE
574	Setd2V1	0.99	1.27843142398536	0.935589311191982	0.0511197019394208	TRUE
617	Stk11Ori	0.5	0.924704967868187	1.00059923401845	0.00915026803843668	FALSE
618	Stk11Ori	0.6	0.954323261302946	1.00146480237958	0.0140569550000225	FALSE
619	Stk11Ori	0.7	0.99562162312338	1.01080557328473	0.0151744882319248	FALSE
620	Stk11Ori	0.8	1.03830832727902	1.0071107356049	0.0149281898797851	FALSE
621	Stk11Ori	0.9	1.10754985349616	0.996402566659379	0.0238282649160908	FALSE
622	Stk11Ori	0.95	1.22666756203816	1.02429797477808	0.0429326879864145	FALSE
623	Stk11Ori	0.99	1.36862375404506	1.00159440021921	0.0534255622933887	FALSE
624	Stk11V1	0.5	0.923816325550701	0.999637657241976	0.0159700707848268	FALSE
625	Stk11V1	0.6	0.952227056594513	0.999265049613193	0.0197999935967693	FALSE
626	Stk11V1	0.7	0.987638783942663	1.00270099003031	0.0248959903120768	FALSE
627	Stk11V1	0.8	1.05619833035729	1.02446320566294	0.0365475330018308	FALSE
628	Stk11V1	0.9	1.1459057153629	1.03090925643936	0.0487604460729587	FALSE
629	Stk11V1	0.95	1.23739605953753	1.03325653747355	0.0627589467287943	FALSE
630	Stk11V1	0.99	1.40775991519442	1.03023525913856	0.141627076634807	FALSE
