target	Percentile	GrowthRate	CellNum	FinalGR	FinalCN	GRCI	CNCI	GRPRaw	GRPFdr	GRPBon	CNPRaw	CNPFdr	CNPBon
1	Arhgap35V1	0.5	0.920430798355916	392.960300933701	0.998410456158606	0.989766796302993	0.00354153859507922	0.0205524382721356	0.810490179004091	1	1	0.835442443188905	1	1
2	Arhgap35V1	0.6	0.951151570750188	473.241183570925	0.998322136161239	0.993948115133443	0.00392249017991726	0.0321804645885609	0.799096766130904	1	1	0.643786763698951	1	1
3	Arhgap35V1	0.7	0.99181429547963	628.984831067773	1.00798559632875	1.01933238765078	0.00564637351548215	0.0363639246647968	0.00278561936468462	0.0368320782663856	1	0.148704116396687	0.747709430332638	1
4	Arhgap35V1	0.8	1.04015654617462	861.787556309982	1.00528480438633	1.03354187595383	0.00614141496932124	0.0556433070583588	0.0458384837599861	0.33059270105687	1	0.118703826337989	0.663785321512965	1
5	Arhgap35V1	0.9	1.13217570209672	1625.64470849383	1.01352635681424	1.08972015621827	0.010513790046966	0.106879484002417	0.0058409868677116	0.0683346271054062	1	0.0499513849967847	0.404251344308411	1
6	Arhgap35V1	0.95	1.20949475642421	2977.36581645107	1.01007036085727	1.23248915934742	0.0119710449802119	0.136830134685831	0.0495938939120703	0.343786798574934	1	0.00043383797179976	0.00938667611712209	0.309760311865029
7	Arhgap35V1	0.99	1.38455522546876	9949.33733759884	1.01234753099499	1.23534484852654	0.0206260582835637	0.201535148456574	0.120331866842099	0.60665254270161	1	0.011045162494941	0.135969758989446	1
8	Arhgap35V2	0.5	0.923324370325873	391.721616504537	1.00154917393686	0.986646866080599	0.00502042294423406	0.0283146668912024	0.272654019630703	1	1	0.822343162859595	1	1
9	Arhgap35V2	0.6	0.952582999763107	489.652020630672	0.999824554192062	1.02841578432533	0.00579356546045338	0.0427626112334836	0.523665096238305	1	1	0.0963861963304884	0.583218171016684	1
10	Arhgap35V2	0.7	0.983388686009464	598.671659347916	0.999422609260583	0.970206882264561	0.00679515606446841	0.04699502963841	0.566135186737384	1	1	0.892986429805034	1	1
11	Arhgap35V2	0.8	1.02144214316135	793.921123986466	0.987197810614487	0.95214965896908	0.00830503219428546	0.0606124032779635	0.998741689586311	1	1	0.939106719848518	1	1
12	Arhgap35V2	0.9	1.09493434203596	1277.02115628202	0.980187803517888	0.856026957579804	0.0122483541976678	0.112316119777233	0.999238794638415	1	1	0.99400497263902	1	1
13	Arhgap35V2	0.95	1.16354991611368	2209.52121901141	0.971701015983725	0.914637675603345	0.014991787550601	0.173388298813518	0.999892098068763	1	1	0.832713796378641	1	1
14	Arhgap35V2	0.99	1.36906072190835	7837.17438140626	1.00101838923536	0.973091239201157	0.0212040919186947	0.226666022594331	0.462501039301843	1	1	0.591995942197378	1	1
15	Arid1aV1	0.5	0.911322798262923	355.791896870495	0.988530818771656	0.896149064114974	0.00474105363591481	0.0279237879523944	0.999998939169538	1	1	0.999999999999844	1	1
16	Arid1aV1	0.6	0.940328510455018	442.473511084203	0.986962326635661	0.929326794891484	0.00399818354699905	0.0353448711865693	0.999999999917793	1	1	0.999955556738857	1	1
17	Arid1aV1	0.7	0.975503161034691	546.80665097693	0.991408512639584	0.886154485120776	0.00514862235817912	0.0384641625156498	0.999463487139669	1	1	0.999999996707343	1	1
18	Arid1aV1	0.8	1.02298048711271	765.360502187263	0.988684580854899	0.917896903267722	0.00689169091947898	0.0543467469161822	0.999354809069944	1	1	0.998466914140364	1	1
19	Arid1aV1	0.9	1.09975240867904	1278.87134841006	0.984500948131932	0.85726719884794	0.00987192613508464	0.0742247635968919	0.998955313704527	1	1	0.999918062514834	1	1
20	Arid1aV1	0.95	1.17838146630675	2063.12665711756	0.984087104617857	0.85403722485435	0.0130442548776652	0.1065558705085	0.991599533167849	1	1	0.996371933787113	1	1
21	Arid1aV1	0.99	1.3183658881832	6847.88143892406	0.963951763930846	0.850257134907535	0.016977895000605	0.167860722881884	0.999984196010761	1	1	0.959806898134886	1	1
22	Arid1aV2	0.5	0.934302490378868	430.893778154991	1.01345736939213	1.08531155268866	0.00496696477695913	0.0294388452201121	5.47000434837029e-08	6.50930517456065e-06	3.90558310473639e-05	6.73740940718323e-09	8.01751719454805e-07	4.81051031672883e-06
23	Arid1aV2	0.6	0.969373455984868	528.688187539407	1.0174477013727	1.11040341741381	0.00409681302822437	0.0395105047389155	3.49085110106517e-17	1.24623384308027e-14	2.49246768616053e-14	2.16556562940412e-08	2.2088769419922e-06	1.54621385939454e-05
24	Arid1aV2	0.7	1.00779987370725	675.990748941417	1.02423181568238	1.09551014605318	0.00567338209633855	0.0470641905034394	2.84599878926964e-17	1.24623384308027e-14	2.03204313553852e-14	3.48153776459554e-05	0.000994327185568486	0.0248581796392122
25	Arid1aV2	0.8	1.05526634036592	945.735515648009	1.01988803555743	1.13422066940059	0.00870495826708747	0.0571294011295742	3.76779374765342e-06	0.00021736520819595	0.00269020473582454	2.06378349156371e-06	9.82360941984325e-05	0.00147354141297649
26	Arid1aV2	0.9	1.1462036057194	1891.83522099577	1.02608416919805	1.26815592717845	0.0116697133082238	0.12678580259134	5.90689201602917e-06	0.000248089464673225	0.00421752089944483	1.69565259586188e-05	0.000526389544976252	0.0121069595344538
27	Arid1aV2	0.95	1.21239704144449	2839.63213207857	1.01249411016431	1.17547390380572	0.0158847334102343	0.136108089749239	0.0615811964811236	0.38569275690809	1	0.00575403580948356	0.0821676313594253	1
